"","Institution","Department","Position","Position type","Field","Posted","Deadline","conference1","conference2","conference3","email1","email2","email3","email4","link1","link2","link3","link4","link5","link6","link7","link8","fulltext_final"
"286","Aarhus University","Department of Economics and Business Economics, School of Business and Social Sciences","Junior positions in Econometrics, Business Analytics and Operations Research","Assistant Professor","Macroeconomics; Monetary","10 Sep 2018","15 Nov 2018","https://economics.ca/en/employment.php","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,"https://arts-ofas.uwaterloo.ca/economics/","https://uwaterloo.ca/economics/","https://arts-ofas.uwaterloo.ca/economics/",NA,NA,NA,NA,NA,"The Department of Economics and Business Economics at Aarhus University, invites applications for a number of positions as assistant professor and post doc starting in the fall of 2019. Research Fields: (i) Time Series Econometrics, Financial Econometrics, and Micro Econometrics, (ii) Business Analytics, including Artificial Intelligence with Machine Learning applications in business and relatedfields, (iii) Operations Research and Logistics and (iv) Applied Microeconometrics withMachine Learning applications in labour, health and child researchcombiningregister dataand data from large-scale randomized controlled trials.Applicants should have a PhD degree before taking up the position. The duration of the assistant professorships is 3-5 years and different schemes for tenure track can be offered. Post doc positions are typically 2-3 years and can be combined with assistant professor positions and thus yielding extra research time. We offer favourable conditions regarding research facilities, data access, time devoted to research, travel support, etc. For non-Danish researchers, attractive tax-schemes exist. The Department of Economics and Business Economics has around 160 faculty members covering the fields of Accounting, Finance, Logistics and Operations Research, Economics, Econometrics, Business Analytics and other fields. The department faculty is international and the working language is English. The department hosts several research centers providing an active research environment and the department has several seminar series with ample influx of visiting researchers. The Department of Economics and Business Economics services several undergraduate and master-level programmes. The PhD programme has an annual intake of around 20 students. More information is available at www.econ.au.dk .Application Procedure: Interviews will be conducted at the ASSA-AEA meetings in Atlanta, GA, January 2019 and the EEA European Job Market for Economists in Naples, Italy, December 2018. Interested candidates who do not attend the meetings are also encouraged to apply. Your application should include cover letter, CV, publication list, names of 3 referees and your job market paper. We also ask candidates to write in their cover letter whether assistant professor, post-doc or both positions are of interest. Optionally, you may submit additional papers and research and teaching statements. All candidates must apply online at http://www.econjobmarket.org.Deadline: The search amongst applicants will start on 19 November 2018 and will continue until the positions are filled.Further information: Please address inquiries to Recruitment Officer, Professor Valerie Smeets (vas@econ.au.dk) or Head of Department, Professor Niels Haldrup (nhaldrup@econ.au.dk).  Letters of reference required: 3 Location of job: Fuglesangs Allé 4, Aarhus, Midtjylland, 8210, DenmarkThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"287","Aarhus University","Department of Economics and Business Economics, School of Business and Social Sciences","Junior positions in Finance and Accounting","Assistant Professor, Postdoctoral Scholar","Econometrics, Operations Research","9 Sep 2018","20 Jan 2019","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:vas@econ.au.dk","mailto:nhaldrup@econ.au.dk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Department of Economics and Business Economics at Aarhus University, invites applications for a number of positions as assistant professor and post doc starting in the fall of 2019.Research Fields: (i) Finance: all fields of finance, including macro-finance, household finance, financial intermediation, quantitative finance, financial planning, econometric and mathematical models for stochastic asset pricing models and derivative pricing (ii) Accounting: Financial accounting and auditing.Applicants should have a PhD degree before taking up the position. The duration of the assistant professorships is 3-5 years and different schemes for tenure track can be offered. Post doc positions are typically 2-3 years and can be combined with assistant professor positions and thus yielding extra research time. We offer favourable conditions regarding research facilities, data access, time devoted to research, travel support, etc. The remuneration package is competitive at the European level and includes a fixed-term stipend to qualified candidates and substantial publication bonuses funded by the newly established Danish Finance Institute. For non-Danish researchers, a favourable tax-scheme exists.The Department of Economics and Business Economics has around 160 faculty members covering the fields of Accounting and Auditing, Finance, Logistics and Operations Research, Economics, Econometrics, Business Analytics and other fields. The department faculty is international and the working language is English. The department hostsseveral research centers providing an active research environment and the department has several seminar series with ample influx of visiting researchers. The Department of Economics and Business Economics services several undergraduate and master-level programmes. The PhD programme has an annual intake of around 20 students. More information is available at www.econ.au.dk .Application Procedure: Interviews will be conducted at the ASSA-AEA meetings in Atlanta, GA, January 2019 and the EEA European Job Market for Economists in Naples, Italy, December 2018. Interested candidates who do not attend the meetings are also encouraged to apply. Your application should include cover letter, CV, publication list, names of 3 referees and your job market paper. We also ask candidates to write in their cover letter whether assistant professor, post-doc or both positions are of interest. Optionally, you may submit additional papers and research and teaching statements. All candidates must apply online at http://www.econjobmarket.org.Deadline: The search amongst applicants will start on 19 November 2018 and will continue until the positions are filled.Further information: Please address inquiries to Recruitment Officer, Professor Valerie Smeets (vas@econ.au.dk) or Head of Department, Professor Niels Haldrup (nhaldrup@econ.au.dk). Letters of reference required: 3 Location of job: Fuglesangs Allé 4, Aarhus, Midtjylland, 8210, DenmarkThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"288","Aarhus University","Department of Economics and Business Economics, School of Business and Social Sciences","Junior positions in Industrial Organization and International Economics","Assistant Professor, Postdoctoral Scholar","Finance, Accounting","9 Sep 2018","20 Jan 2019","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:vas@econ.au.dk","mailto:nhaldrup@econ.au.dk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Department of Economics and Business Economics at Aarhus University, invites applications for a number of positions as assistant professor and post doc starting in the fall of 2019.Research Fields: (i) International Economics and Industrial Organisation focusing on firms, industry dynamics, worker outcomes or policy aspects (ii) Applications of firm-level data or matched employer-employee register data to questions of firm performance or aggregate implications, including structural estimation (iii) Applied theory and general equilibrium modelling of firm and industry dynamics, including IO micro foundations in international macroeconomics. Applicants should have a PhD degree before taking up the position. The duration of the assistant professorships is 3-5 years and different schemes for tenure track can be offered. Post doc positions are typically 2-3 years and can be combined with assistant professor positions and thus yielding extra research time. We offer favourable conditions regarding research facilities, data access, time devoted to research, travel support, etc. For non-Danish researchers, attractive tax-schemes exist.The Department of Economics and Business Economics has around 160 faculty members covering the fields of Accounting, Finance, Logistics and Operations Research, Economics, Econometrics, Business Analytics and other fields. The department faculty is international and the working language is English. The department hosts several research centers providing an active research environment and the department has several seminar series with ample influx of visiting researchers. The Department of Economics and Business Economics services several undergraduate and master-level programmes. The PhD programme has an annual intake of around 20 students. More information is available at www.econ.au.dk.Application Procedure: Interviews will be conducted at the ASSA-AEA meetings in Atlanta, GA, January 2019 and the EEA European Job Market for Economists in Naples, Italy, December 2018. Interested candidates who do not attend the meetings are also encouraged to apply. Your application should include cover letter, CV, publication list, names of 3 referees and your job market paper. We also ask candidates to write in their cover letter whether assistant professor, post-doc or both positions are of interest. Optionally, you may submit additional papers and research and teaching statements. All candidates must apply online at http://www.econjobmarket.org.Deadline: The search amongst applicants will start on 19 November 2018 and will continue until the positions are filled.Further information: Please address inquiries to Recruitment Officer, Professor Valerie Smeets (vas@econ.au.dk) or Head of Department, Professor Niels Haldrup (nhaldrup@econ.au.dk).  Letters of reference required: 3 Location of job: Fuglesangs Allé 4, Aarhus, Midtjylland, 8210, DenmarkThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"289","Aarhus University","Department of Economics and Business Economics, School of Business and Social Sciences","Junior positions in Appl. Micro-metrics, Environ. Econ, Macro, Search & Matching","Assistant Professor, Postdoctoral Scholar","Industrial Organization, International Trade","9 Sep 2018","20 Jan 2019","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:vas@econ.au.dk","mailto:nhaldrup@econ.au.dk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Department of Economics and Business Economics at Aarhus University, invites applications for a number of positions as assistant professor and post doc starting in the fall of 2019.Research Fields: (i)Applied microeconometricsfor empirical labour or health, with an interest in the effects of air pollution on health and behaviour. GIS experience is a plus. (ii) Macroeconomics with a focus on housing or business cycles/unemployment. Experience with numerical simulations is a plus. (iii) Family economics, search and matching. Experience with register data is a plus. (iv) Applied Microeconometrics withMachine Learning applications in labour, health and child researchcombiningregister dataand data from large-scale randomized controlled trials. Applicants should have a PhD degree before taking up the position. The duration of the assistant professorships is 3-5 years and different schemes for tenure track can be offered. Post doc positions are typically 2-3 years and can be combined with assistant professor positions and thus yielding extra research time. We offer favourable conditions regarding research facilities, data access, time devoted to research, travel support, etc. For non-Danish researchers, attractive tax-schemes exist.The Department of Economics and Business Economics has around 160 faculty members covering the fields of Accounting, Finance, Logistics and Operations Research, Economics, Econometrics, Business Analytics and other fields. The department faculty is international and the working language is English. The department hosts several research centers providing an active research environment and the department has several seminar series with ample influx of visiting researchers. The Department of Economics and Business Economics services several undergraduate and master-level programmes. The PhD programme has an annual intake of around 20 students. More information is available at www.econ.au.dk .Application Procedure: Interviews will be conducted at the ASSA-AEA meetings in Atlanta, GA, January 2019 and the EEA European Job Market for Economists in Naples, Italy, December 2018. Interested candidates who do not attend the meetings are also encouraged to apply. Your application should include cover letter, CV, publication list, names of 3 referees and your job market paper. We also ask candidates to write in their cover letter whether assistant professor, post-doc or both positions are of interest. Optionally, you may submit additional papers and research and teaching statements. All candidates must apply online at http://www.econjobmarket.org.Deadline: The search amongst applicants will start on 19 November 2018 and will continue until the positions are filled.Further information: Please address inquiries to Recruitment Officer, Professor Valerie Smeets (vas@econ.au.dk) or Head of Department, Professor Niels Haldrup (nhaldrup@econ.au.dk). Letters of reference required: 3 Location of job: Fuglesangs Allé 4, Aarhus, Midtjylland, 8210, DenmarkThe recruiter is interviewing applicants at the following conferences:EEA Job Market Meeting, Naples, Italy, 67 Dec 2018 Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"290","Stanford University","Department of Economics","Assistant Professor","Assistant Professor, Postdoctoral Scholar","Various fieldsLabor; Demographic Economics, Macroeconomics; Monetary, Health; Education; Welfare","9 Sep 2018","20 Jan 2019","https://www.eeassoc.org/index.php?site=&page=288&trsz=287","https://www.aeaweb.org/conference/",NA,"mailto:vas@econ.au.dk","mailto:nhaldrup@econ.au.dk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Department of Economics at Stanford University seeks applicants for a tenure track Assistant Professor level position. All fields may apply. Candidates must demonstrate the capacity for high-quality research and teaching at both the graduate and undergraduate levels. Please submit curriculum vitae, research papers(s), and 3 letters of reference. The application deadline is December 1, 2018. Interested candidates are strongly encouraged to apply on the Econ JobMarket website at:https://econjobmarket.org/positions/5142Those without internet access can mail their application to: Professor B. Douglas Bernheim c/o Julie Apffel Stanford University Department of Economics 579 Serra Mall Stanford, CA 94305-6072 Stanford is an equal employment opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law. Stanford also welcomes applications from others who would bring additional dimensions to the University's research, teaching and clinical missions. Letters of reference required: 3 Location of job: 579 Serra Mall, Landau Building, Stanford, CALIFORNIA, 94305, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"291","Texas A&amp;M University, College Station","Economics","Assistant Professor of Industrial Organization","Assistant Professor","Any field","7 Sep 2018","1 Dec 2018","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Department of Economics is seeking to fill one position at the rank of Assistant Professor (or Advanced Assistant Professor) or Associate Professor in the field of Industrial Organization.Successful applicants must have a Ph.D. in economics or a related field by the beginning of employment in September 2019 and are expected to be committed to teaching and research of the highest quality. In addition to publishing in leading journals, the successful candidate will be expected to teach undergraduate and graduate courses.Candidates for appointment at the Associate Professor level must have a demonstrated record of scholarly achievement appropriate for the rank. In addition to a distinguished record of high quality published research, the candidate should demonstrate an interest in advising doctoral students.Candidates for appointment at the Assistant Professor/Advanced Assistant Professor level should demonstrate promise to publish high-quality research in leading journals.We are deeply committed to increasing diversity and especially encourage applications from women and minority scholars. TAMU is an equal opportunity-affirmative action employer that responds to the needs of dual-career couples. The Texas A&M System is an Equal Opportunity/Affirmative Action/Veterans/Disability Employer committed to diversity.Applicants should submit a cover letter, curriculum vitae, and copies of or links to important publications and/or working papers. Applicants must arrange for three letters of recommendation to be submitted online or should submit the names of at least three distinguished scholars who can provide references.Review of applications will begin on October 10, 2018, and continue until the position is filled.Applications should be submitted online via http://www.econjobmarket.org/Informational URL: http://econ.tamu.edu/ Letters of reference required: 3 Location of job: 3035 Allen Building, 4228 TAMU, College Station, TX, 77843-4228, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"292","Texas A&amp;M University, College Station","Economics","Assistant Professor of Macroeconomics","Assistant Professor, Associate Professor","Industrial Organization","7 Sep 2018","7 Jan 2019","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Department of Economics is seeking to fill one position at the rank of Assistant Professor (or Advanced Assistant Professor) or Associate Professor in the field of Macroeconomics.Successful applicants must have a Ph.D. in economics or a related field by the beginning of employment in September 2019 and are expected to be committed to teaching and research of the highest quality. In addition to publishing in leading journals, the successful candidate will be expected to teach undergraduate and graduate courses.Candidates for appointment at the Associate Professor level must have a demonstrated record of scholarly achievement appropriate for the rank. In addition to a distinguished record of high quality published research, the candidate should demonstrate an interest in advising doctoral students.Candidates for appointment at the Assistant Professor/Advanced Assistant Professor level should demonstrate promise to publish high-quality research in leading journals. We are deeply committed to increasing diversity and especially encourage applications from women and minority scholars. TAMU is an equal opportunity-affirmative action employer that responds to the needs of dual-career couples. The Texas A&M System is an Equal Opportunity/Affirmative Action/Veterans/Disability Employer committed to diversity.Applicants should submit a cover letter, curriculum vitae, and copies of or links to important publications and/or working papers. Applicants must arrange for three letters of recommendation to be submitted online or should submit the names of at least three distinguished scholars who can provide references.Review of applications begins on October 10, 2018, and continues until the position is filled.Applications should be submitted online via http://www.econjobmarket.org/Informational URL: http://econ.tamu.edu/ Letters of reference required: 3 Location of job: 3035 Allen Building, 4228 TAMU, College Station, TX, 77843-4228, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"293","National University of Singapore","Department of Strategy and Policy","Tenure Track Position (Economics)","Assistant Professor, Associate Professor","Macroeconomics; Monetary","7 Sep 2018","7 Jan 2019","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUS Business SchoolDepartment of Strategy & PolicyTenure Track Position (Economics)The National University of Singapore (NUS) is a leading research-focused institution with anentrepreneurialdimension offering a wide range of disciplines, including sciences, medicine and dentistry, design and environment, law, arts and social sciences, engineering, business, computing and music in both undergraduate and postgraduate education. The University follows the North American academic system and the language of instruction is English.The NUS Business School consistently ranks among the top business schools in Asia. The Department of Strategy & Policy numbers some 45 faculty members.Business School economists have published extensively at various major journals. The Department offers undergraduate, masters and doctoral degree programs which attract students from all over the world.The Department invites applications from the fields of applied microeconomics and industrial organization. Applications at all ranks will be considered. Candidates should hold a Ph.D. or be near completion. Selection for professor and associate professor will be based on an established publication record and proven teaching experience. Appointment as assistant professor will be based on potential for impactful publication and effective teaching.We offer a conducive research environment with generous funding support, as well as competitive remuneration and other benefits.Applicants should submit the following:a letter describing their areas of research interest and teaching experiencea curriculum vitaesample of written work andthree letters of recommendation (for junior applicants)Materials should be sent via email to bprecruit@nus.edu.sg by November 30, 2018.To apply, send a message to bprecruit@nus.edu.sg.(See posting for details.) Letters of reference required: 3 Location of job: National University of Singapore, Dept of Strategy and Policy, 15 Kent Ridge Crescent, Mochtar Riady Building, #6-48, 119245, Singapore"
"294","University of New South Wales","School of Economics, Australian School of Business","Faculty Positions in Economics, UNSW Sydney","Other academic","Various fieldsEconometrics, Environmental; Ag. Econ., Experimental Economics, Labor; Demographic Economics, Law and Economics, Macroeconomics; Monetary, Microeconomics, Public Economics, Behavioral Economics, Business Economics, Computational Economics","6 Sep 2018","30 Nov 2018",NA,NA,NA,"mailto:bprecruit@nus.edu.sg",NA,NA,NA,"https://en.wikipedia.org/wiki/Entrepreneurial",NA,NA,NA,NA,NA,NA,NA,"The School of Economics at the UNSW Sydney is seeking to make one or more appointments at the level of Lecturer (Assistant Professor), Senior Lecturer and/or Associate Professor. Applicants must have a PhD completed or near completion and must be able to demonstrate strong research abilities and a commitment to teaching. Applicants for lecturer positions should show promise of becoming internationally recognised scholars and excellent teachers. Senior appointments should have a demonstrated commitment to excellence in research, teaching and supervision, as well as strong evidence of academic leadership. Successful applicants will be expected to develop an independent research program that achieves international recognition, supervise postgraduate research and teach in undergraduate and postgraduate programs. Applicants with expertise in any area of economics will be considered. For candidates in appropriate fields, affiliation with the Australian Research Council Centre of Excellence in Population Ageing Research is possible: http://www.cepar.edu.au/ UNSW Sydney desires to be the exemplar Australian university and employer of choice for people from diverse backgrounds. UNSW Sydney aspires to ensure equality in recruitment, development, retention and promotion of staff, paying particular attention to ensuring no-one is disadvantaged on the basis of their gender, cultural background, disability or Indigenous origin. Application Process: All applications should be submitted online at www.econjobmarket.org. Applications must include a letter of application, a curriculum vitae, a research paper, and three letters of reference. Members of the School will be interviewing at the AEA meetings in Atlanta, 4-6 January 2019. If you require information regarding the School of Economics, please visit our website at www.economics.unsw.edu.au. Enquiries about the positions should be sent to the Head of School, Professor Arghya Ghosh, at a.ghosh@unsw.edu.au Letters of reference required: 3 Location of job: School of Economics, UNSW Sydney, UNSW Business School, Sydney, NSW, 2052, AustraliaThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"295","Hong Kong Baptist University","Department of Economics","Chair Professor/Professor/Associate Professor/Assistant Professor","Assistant Professor, Associate Professor","Any field","5 Sep 2018","30 Nov 2018","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HONG KONG BAPTIST UNIVERSITYSCHOOL OF BUSINESSDepartment of EconomicsChair Professor/Professor/Associate Professor/Assistant Professor (PR0072/18-19)The Department invites applications for the above positions. Applications in all economics fields will be considered. Preference will be given to applicants with expertise in one or more of the following areas: macroeconomics, applied econometrics (including analysis of big data) and economics of digital markets.Applicants should have a relevant PhD degree. Candidates for senior positions should also have a strong track record of research and teaching accomplishments. Fresh PhD graduates are expected to submit their applications before the closing date. Applications from other candidates will be processed throughout the year until the positions are filled.The appointment is offered on a tenure track. Initial appointment will be made on a fixed-term contract of up to three years starting from a mutually agreed date in 2019. Re-appointment thereafter is subject to mutual agreement and availability of funding. Remuneration package includes retirement/gratuity benefits, annual leave, medical and dental scheme, housing assistance and relocation allowance wherever appropriate.Rank and salary will be commensurate with qualifications and experience.Application Procedure:Applicants are invited to submit their applications at the HKBU e-Recruitment System (jobs.hkbu.edu.hk). All applicants should send in their teaching evaluation results of last three years and samples of publications, preferably three best ones out of their most recent publications. Applicants should also request two referees to send in confidential letters of reference, with PR number quoted on the letters, to the Personnel Office (Email: recruit@hkbu.edu.hk) direct. Applicants not invited for interview 4 months after the closing date may consider their applications unsuccessful. All application materials including publication samples, scholarly/creative works will not be returned after the completion of the recruitment exercise unless upon request. Details of the Universitys Personal Information Collection Statement can be found at http://pers.hkbu.edu.hk/pics.The University reserves the right not to make an appointment for the posts advertised, and the appointment will be made according to the terms and conditions then applicable at the time of offer.Closing date: 30 November 2018 (or until the positions are filled)To apply, send a message to recruit@hkbu.edu.hk.(See posting for details.) Letters of reference required: 2 Location of job: Hong Kong Baptist University, Kowloon Tong, Kowloon, Hong Kong"
"296","Shanghai University of Finance and Economics","School of Finance","Tenure-track Faculty Positions in Finance","Other academic","Any field","5 Sep 2018","30 Nov 2018",NA,NA,NA,"mailto:recruit@hkbu.edu.hk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The School of Finance at Shanghai University of Finance and Economics (SUFE) invites applications for tenure-track positions at all levels (assistant, associate, or full professor) starting in the fall of 2019. We offer a competitive compensation package including salaries, research funds, housing subsidies and other benefits. JOB QUALIFICATIONS: Candidates for assistant professor positions should possess or expect a Ph.D. in finance, economics, actuarial and insurance or other related fields by the fall of 2019. Successful applications must demonstrate the capacity to conduct high-quality research and aim to publish in top finance and economics journals. The position also requires a strong commitment to excellent teaching. Candidates for senior positions should further provide strong publication records in top finance and economics journals. An application should include the following in a single PDF document: - Cover letter; - Curriculum vita; - Research samples (e.g. job market papers); - Teaching evaluation (if applicable); - Three confidential recommendation letters (preferably in PDF format). FURTHER INFORMATION: Please contact Ms. Wang at +86 21 6590-8400 / +86 13816326549/wangyachun@mail.shufe.edu.cn or visit our website http://newfin.shufe.edu.cn:888/. We will be conducting interviews at 2019 ASSA meetings in Atlanta. Letters of reference required: 3 Location of job: No.777 Guoding Road, Yangpu District, ShangHai, ChinaThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"297","Princeton University","Economics","Assistant Professor","Assistant Professor, Associate Professor, Full Professor","Finance","5 Sep 2018","30 Nov 2018","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The Department of Economics will have one or more faculty openings starting September 2019. Appointments may in some cases be joint with the Economics Department and the Woodrow Wilson School. Appointments will normally be at the rank of assistant professor. Complete applications including cover letter, CV, job market papers, and at least 3 letters of recommendation will be reviewed starting December 1, 2018.Primary emphasis is placed on qualifications, including Ph.D., outstanding academic record and teaching experience. This position is subject to the University's background check policy.Princeton University is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Letters of reference required: 3 Location of job: 20 Washington Road, Princeton, NJ, 08540, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"298","Georgetown University","Department of Economics","Assistant Professor, International Finance or Any Field","Assistant Professor","Any field","5 Sep 2018","5 Sep 2020","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgetown University Department of Economics has an opening at the Assistant Professor level with an emphasis on international finance. Candidates must have a PhD completed or anticipated, a strong commitment to research and good teaching skills.Georgetown University is an Equal Opportunity/Affirmative Action Employer fully dedicated to achieving a diverse faculty and staff. All qualified applicants are encouraged to apply and will receive consideration for employment without regard to race, color, religion, national origin, age, sex (including pregnancy, gender identity and expression, and sexual orientation), disability status, protected veteran status, or any other characteristic protected by law. Letters of reference required: 3 Location of job: 37th and O STs., NW, ICC, 580, Washington, DC, 20057, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"299","Georgetown University","Department of Economics","Assistant Professor, Macroeconomics or Any Field","Assistant Professor","International Finance/Macro, Any field","4 Sep 2018","15 Dec 2018","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgetown University Department of Economics has an opening at the Assistant Professor level with an emphasis on macroeconomics. Candidates must have a PhD completed or anticipated, a strong commitment to research and good teaching skills.Georgetown University is an Equal Opportunity/Affirmative Action Employer fully dedicated to achieving a diverse faculty and staff. All qualified applicants are encouraged to apply and will receive consideration for employment without regard to race, color, religion, national origin, age, sex (including pregnancy, gender identity and expression, and sexual orientation), disability status, protected veteran status, or any other characteristic protected by law. Letters of reference required: 3 Location of job: 37th and O STs., NW, ICC, 580, Washington, DC, 20057, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"300","American University","Department of Economics","American University Assistant/Associate Development Economics","Assistant Professor","Macroeconomics; Monetary, Any field","4 Sep 2018","15 Dec 2018","https://www.aeaweb.org/conference/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One tenure-line opening beginning August 2019 in development economics at the assistant or associate professor level. The department seeks applicants in all fields of development economics and is open to candidates with a wide range of theoretical and empirical approaches. Candidates should have an interest in policy-relevant research, strong quantitative skills, excellent teaching credentials, and the ability to supervise doctoral students. Applicants should have completed a PhD or anticipate completion by August 2019. Applications must include a cover letter or statement, curriculum vitae, sample research paper, and letters from three references and must be sent to www.EconJobMarket.org. Consideration of applications will continue until the position is filled, but complete applications received by November 15, 2018 will receive priority for interviews at ASSA meetings. American University is an equal opportunity, affirmative action institution that operates in compliance with applicable laws and regulations. The university does not discriminate on the basis of race, color, national origin, religion, sex, age, sexual orientation, disability, marital status, political affiliation, source of income, veteran status, or any other bases under federal or local laws (collectively Protected Bases”). It is a tobacco and smoke free campus. For more information, see https://www.american.edu/hr/careers/faculty-ft.cfm or write to econ@american.edu. Letters of reference required: 3 Location of job: 4400 Massachusetts Ave NW, Washington, DC, 20016, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
"301","American University","Department of Economics","American University Assistant Macroeconomics","NULL","NULL","NULL","NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One tenure-line opening beginning August 2019 in macroeconomics at the assistant professor level. The department seeks applicants in all fields of macroeconomics and is open to candidates with a wide range of theoretical and empirical approaches. Candidates should have an interest in policy-relevant research, strong quantitative skills, excellent teaching credentials, and the ability to supervise doctoral students. Applicants should have completed a PhD or anticipate completion by August 2019. Applications must include a cover letter or statement, curriculum vitae, sample research paper, and letters from three references and must be sent to www.EconJobMarket.org. Consideration of applications will continue until the position is filled, but complete applications received by November 15, 2018 will receive priority for interviews at ASSA meetings. American University is an equal opportunity, affirmative action institution that operates in compliance with applicable laws and regulations. The university does not discriminate on the basis of race, color, national origin, religion, sex, age, sexual orientation, disability, marital status, political affiliation, source of income, veteran status, or any other bases under federal or local laws (collectively Protected Bases”). It is a tobacco and smoke free campus. For more information, see https://www.american.edu/hr/careers/faculty-ft.cfm or write to econ@american.edu. Letters of reference required: 3 Location of job: 4400 Massachusetts Ave NW, Washington, DC, 20016, United StatesThe recruiter is interviewing applicants at the following conference:Allied Social Sciences Association, Atlanta, USA, 46 Jan 2019"
